Lista de indices Diarios da TaxaSelic;20060102;20180329;
Data;Taxa (%a.a.);Fator diário;Base de cálculo (R$);Média;Mediana;Moda;Desvio padrão;Índice de curtose;
15/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
16/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
19/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
20/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
21/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
22/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
23/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
26/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
27/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
28/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
29/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
30/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
02/04/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
03/04/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
04/04/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
05/04/2007;12,69;1,00047420;0,00;0,00;0,00;0,00;0,00;0,00;
09/04/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
10/04/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
11/04/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
12/04/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
13/04/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
16/04/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
17/04/2007;12,67;1,00047350;0,00;0,00;0,00;0,00;0,00;0,00;
