Lista de indices Diarios da TaxaSelic;20060102;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
25/04/2007;     12,43;          1,00046503;       1,1952588035123576;
26/04/2007;     12,43;          1,00046503;       1,1958146347137549;
27/04/2007;     12,43;          1,00046503;       1,1963707243933359;
30/04/2007;     12,43;          1,00046503;       1,1969270726713005;
02/05/2007;     12,43;          1,00046503;       1,1974836796679048;
03/05/2007;     12,43;          1,00046503;       1,1980405455034608;
04/05/2007;     12,43;          1,00046503;       1,1985976702983363;
07/05/2007;     12,43;          1,00046503;       1,1991550541729551;
08/05/2007;     12,43;          1,00046503;       1,1997126972477972;
09/05/2007;     12,43;          1,00046503;       1,2002705996433983;
10/05/2007;     12,43;          1,00046503;       1,2008287614803505;
11/05/2007;     12,43;          1,00046503;       1,2013871828793017;
14/05/2007;     12,43;          1,00046503;       1,2019458639609560;
15/05/2007;     12,43;          1,00046503;       1,2025048048460738;
16/05/2007;     12,43;          1,00046503;       1,2030640056554714;
17/05/2007;     12,43;          1,00046503;       1,2036234665100213;
18/05/2007;     12,43;          1,00046503;       1,2041831875306525;
21/05/2007;     12,43;          1,00046503;       1,2047431688383499;
22/05/2007;     12,43;          1,00046503;       1,2053034105541548;
23/05/2007;     12,43;          1,00046503;       1,2058639127991648;
24/05/2007;     12,43;          1,00046503;       1,2064246756945338;
25/05/2007;     12,43;          1,00046503;       1,2069856993614720;
28/05/2007;     12,43;          1,00046503;       1,2075469839212461;
29/05/2007;     12,43;          1,00046503;       1,2081085294951790;
30/05/2007;     12,43;          1,00046503;       1,2086703362046501;
31/05/2007;     12,43;          1,00046503;       1,2092324041710953;
01/06/2007;     12,43;          1,00046503;       1,2097947335160070;
04/06/2007;     12,43;          1,00046503;       1,2103573243609340;
05/06/2007;     12,43;          1,00046503;       1,2109201768274815;
06/06/2007;     12,43;          1,00046503;       1,2114832910373116;
08/06/2007;     11,93;          1,00044734;       1,2120252359727243;
11/06/2007;     11,93;          1,00044734;       1,2125674233417843;
12/06/2007;     11,93;          1,00044734;       1,2131098532529420;
13/06/2007;     11,93;          1,00044734;       1,2136525258146962;
14/06/2007;     11,93;          1,00044734;       1,2141954411355941;
15/06/2007;     11,93;          1,00044734;       1,2147385993242317;
18/06/2007;     11,93;          1,00044734;       1,2152820004892534;
19/06/2007;     11,93;          1,00044734;       1,2158256447393523;
20/06/2007;     11,93;          1,00044734;       1,2163695321832700;
21/06/2007;     11,93;          1,00044734;       1,2169136629297969;
22/06/2007;     11,93;          1,00044734;       1,2174580370877719;
25/06/2007;     11,93;          1,00044734;       1,2180026547660827;
26/06/2007;     11,93;          1,00044734;       1,2185475160736658;
27/06/2007;     11,93;          1,00044734;       1,2190926211195062;
28/06/2007;     11,93;          1,00044734;       1,2196379700126378;
29/06/2007;     11,93;          1,00044734;       1,2201835628621432;
02/07/2007;     11,93;          1,00044734;       1,2207293997771540;
03/07/2007;     11,93;          1,00044734;       1,2212754808668503;
04/07/2007;     11,93;          1,00044734;       1,2218218062404613;
05/07/2007;     11,93;          1,00044734;       1,2223683760072649;
06/07/2007;     11,93;          1,00044734;       1,2229151902765880;
09/07/2007;     11,93;          1,00044734;       1,2234622491578063;
10/07/2007;     11,93;          1,00044734;       1,2240095527603445;
11/07/2007;     11,93;          1,00044734;       1,2245571011936764;
12/07/2007;     11,93;          1,00044734;       1,2251048945673243;
13/07/2007;     11,93;          1,00044734;       1,2256529329908601;
16/07/2007;     11,93;          1,00044734;       1,2262012165739042;
17/07/2007;     11,93;          1,00044734;       1,2267497454261264;
18/07/2007;     11,93;          1,00044734;       1,2272985196572453;
19/07/2007;     11,43;          1,00042956;       1,2278257180093493;
20/07/2007;     11,43;          1,00042956;       1,2283531428247774;
23/07/2007;     11,43;          1,00042956;       1,2288807942008092;
24/07/2007;     11,43;          1,00042956;       1,2294086722347661;
25/07/2007;     11,43;          1,00042956;       1,2299367770240112;
26/07/2007;     11,43;          1,00042956;       1,2304651086659497;
27/07/2007;     11,43;          1,00042956;       1,2309936672580282;
30/07/2007;     11,43;          1,00042956;       1,2315224528977356;
31/07/2007;     11,43;          1,00042956;       1,2320514656826023;
01/08/2007;     11,43;          1,00042956;       1,2325807057102010;
02/08/2007;     11,43;          1,00042956;       1,2331101730781458;
03/08/2007;     11,43;          1,00042956;       1,2336398678840933;
06/08/2007;     11,43;          1,00042956;       1,2341697902257416;
07/08/2007;     11,43;          1,00042956;       1,2346999402008309;
08/08/2007;     11,43;          1,00042956;       1,2352303179071436;
09/08/2007;     11,43;          1,00042956;       1,2357609234425038;
10/08/2007;     11,43;          1,00042956;       1,2362917569047778;
13/08/2007;     11,42;          1,00042921;       1,2368223856897589;
14/08/2007;     11,43;          1,00042956;       1,2373536751137558;
15/08/2007;     11,43;          1,00042956;       1,2378851927584376;
16/08/2007;     11,43;          1,00042956;       1,2384169387218389;
17/08/2007;     11,43;          1,00042956;       1,2389489131020363;
20/08/2007;     11,43;          1,00042956;       1,2394811159971484;
21/08/2007;     11,43;          1,00042956;       1,2400135475053361;
22/08/2007;     11,43;          1,00042956;       1,2405462077248025;
23/08/2007;     11,43;          1,00042956;       1,2410790967537928;
24/08/2007;     11,43;          1,00042956;       1,2416122146905943;
27/08/2007;     11,43;          1,00042956;       1,2421455616335368;
28/08/2007;     11,43;          1,00042956;       1,2426791376809921;
29/08/2007;     11,43;          1,00042956;       1,2432129429313744;
30/08/2007;     11,43;          1,00042956;       1,2437469774831400;
31/08/2007;     11,43;          1,00042956;       1,2442812414347876;
03/09/2007;     11,43;          1,00042956;       1,2448157348848584;
04/09/2007;     11,43;          1,00042956;       1,2453504579319355;
05/09/2007;     11,43;          1,00042956;       1,2458854106746448;
06/09/2007;     11,18;          1,00042065;       1,2464094923726450;
10/09/2007;     11,18;          1,00042065;       1,2469337945256116;
11/09/2007;     11,18;          1,00042065;       1,2474583172262788;
12/09/2007;     11,18;          1,00042065;       1,2479830605674200;
13/09/2007;     11,18;          1,00042065;       1,2485080246418477;
14/09/2007;     11,18;          1,00042065;       1,2490332095424133;
17/09/2007;     11,18;          1,00042065;       1,2495586153620073;
18/09/2007;     11,18;          1,00042065;       1,2500842421935594;
19/09/2007;     11,18;          1,00042065;       1,2506100901300381;
20/09/2007;     11,18;          1,00042065;       1,2511361592644513;
21/09/2007;     11,18;          1,00042065;       1,2516624496898459;
24/09/2007;     11,18;          1,00042065;       1,2521889614993079;
25/09/2007;     11,18;          1,00042065;       1,2527156947859626;
26/09/2007;     11,18;          1,00042065;       1,2532426496429743;
27/09/2007;     11,18;          1,00042065;       1,2537698261635466;
28/09/2007;     11,18;          1,00042065;       1,2542972244409223;
01/10/2007;     11,18;          1,00042065;       1,2548248445683834;
02/10/2007;     11,18;          1,00042065;       1,2553526866392511;
03/10/2007;     11,18;          1,00042065;       1,2558807507468859;
04/10/2007;     11,18;          1,00042065;       1,2564090369846876;
05/10/2007;     11,18;          1,00042065;       1,2569375454460952;
08/10/2007;     11,18;          1,00042065;       1,2574662762245871;
09/10/2007;     11,18;          1,00042065;       1,2579952294136809;
